"Año";"Periodo";"Tasa de gripe por 100.000 habitantes"
"2015";"Semana 40";"5,1"
"2015";"Semana 41";"7,56"
"2015";"Semana 42";"8,45"
"2015";"Semana 43";"11,69"
"2015";"Semana 44";"12,4"
"2015";"Semana 45";"13,1"
"2015";"Semana 46";"11,37"
"2015";"Semana 47";"13,64"
"2015";"Semana 48";"17,87"
"2015";"Semana 49";"15,14"
"2015";"Semana 50";"12,2"
"2015";"Semana 51";"24,55"
"2015";"Semana 52";"20,33"
"2015";"Semana 53";"16,32"
"2016";"Semana 1";"26,82"
"2016";"Semana 2";"45,54"
"2016";"Semana 3";"80,19"
"2016";"Semana 4";"139,34"
"2016";"Semana 5";"154,82"
"2016";"Semana 6";"178,19"
"2016";"Semana 7";"177,34"
"2016";"Semana 8";"210,26"
"2016";"Semana 9";"179,12"
"2016";"Semana 10";"189,27"
"2016";"Semana 11";"197,27"
"2016";"Semana 12";"112,61"
"2016";"Semana 13";"61,25"
"2016";"Semana 14";"42,96"
"2016";"Semana 15";"31,68"
"2016";"Semana 16";"23,95"
"2016";"Semana 17";"16,05"
"2016";"Semana 18";"11,89"
"2016";"Semana 19";"7,22"
"2016";"Semana 20";"5,76"
"2016";"Semana 40";"5,57"
"2016";"Semana 41";"8,54"
"2016";"Semana 42";"11,68"
"2016";"Semana 43";"10,34"
"2016";"Semana 44";"11,29"
"2016";"Semana 45";"18,36"
"2016";"Semana 46";"24,84"
"2016";"Semana 47";"31,76"
"2016";"Semana 48";"38,01"
"2016";"Semana 49";"32,75"
"2016";"Semana 50";"63,62"
"2016";"Semana 51";"91,31"
"2016";"Semana 52";"138,17"
"2017";"Semana 1";"174,48"
"2017";"Semana 2";"220,52"
"2017";"Semana 3";"222,43"
"2017";"Semana 4";"195,03"
"2017";"Semana 5";"135,64"
"2017";"Semana 6";"89,99"
"2017";"Semana 7";"53,14"
"2017";"Semana 8";"33,63"
"2017";"Semana 9";"19,31"
"2017";"Semana 10";"14,35"
"2017";"Semana 11";"10,06"
"2017";"Semana 12";"9,04"
"2017";"Semana 13";"5,79"
"2017";"Semana 14";"5,92"
"2017";"Semana 15";"2,34"
"2017";"Semana 16";"3,43"
"2017";"Semana 17";"5,13"
"2017";"Semana 18";"2,25"
"2017";"Semana 19";"2,18"
"2017";"Semana 20";"1,81"
"2017";"Semana 40";"4,32"
